State,1980,1990,1995,2000,2003,2006,2009,2012,2015
Alabama,7465.00,14899.00,19683.00,23521.00,26338.00,30894.00,33096.00,35625.00,38965.00
Alaska,13007.00,20887.00,25798.00,29642.00,33568.00,38138.00,42603.00,46778.00,55940.00
Arizona,8854.00,16262.00,20634.00,24988.00,26838.00,31936.00,32935.00,35979.00,39060.00
Arkansas,7113.00,13779.00,18546.00,21995.00,24289.00,28473.00,31946.00,34723.00,39107.00
California,11021.00,20656.00,24496.00,32149.00,33749.00,39626.00,42325.00,44980.00,52651.00
Colorado,10143.00,18818.00,24865.00,32434.00,34283.00,39491.00,41344.00,45135.00,50410.00
Connecticut,11532.00,25426.00,31947.00,40702.00,43173.00,50762.00,54397.00,58908.00,66972.00
Delaware,10059.00,19719.00,25391.00,31012.00,32810.00,39131.00,39817.00,41940.00,47662.00
DC,12251.00,24643.00,33045.00,38838.00,48342.00,57746.00,66000.00,74710.00,71496.00
Florida,9246.00,18785.00,23512.00,27764.00,30446.00,36720.00,37780.00,40344.00,44101.00
Georgia,8021.00,17121.00,22230.00,27794.00,29442.00,32095.00,33786.00,36869.00,40551.00
Hawaii,10129.00,20905.00,25584.00,27851.00,30913.00,37023.00,42009.00,44024.00,47753.00
Idaho,8105.00,15304.00,19630.00,23727.00,25911.00,29920.00,31632.00,33749.00,37509.00
Illinois,10454.00,20159.00,25643.00,31856.00,33690.00,38409.00,41411.00,44815.00,49471.00
Indiana,8914.00,16815.00,21845.00,26933.00,28783.00,32288.00,33725.00,36902.00,40998.00
Iowa,9226.00,16683.00,21181.00,26431.00,29043.00,33038.00,36751.00,42126.00,44971.00
Kansas,9880.00,17639.00,21889.00,27374.00,29935.00,34799.00,37916.00,41835.00,45876.00
Kentucky,7679.00,14751.00,19215.00,24085.00,26252.00,29729.00,31883.00,35041.00,38989.00
Louisiana,8412.00,14279.00,19541.00,23090.00,26100.00,31821.00,35507.00,39413.00,43252.00
Maine,7760.00,17041.00,20240.00,25380.00,28831.00,32095.00,36745.00,39481.00,42077.00
Maryland,10394.00,22088.00,26896.00,33482.00,37331.00,43788.00,48285.00,51971.00,56127.00
Massachusetts,10103.00,22248.00,28051.00,37704.00,39815.00,46299.00,49875.00,54687.00,61032.00
Michigan,9801.00,18239.00,23975.00,29127.00,30439.00,33788.00,34025.00,37497.00,42427.00
Minnesota,9673.00,18784.00,24583.00,31935.00,34443.00,38859.00,41552.00,46227.00,50541.00
Mississippi,6573.00,12578.00,17185.00,20900.00,23448.00,27028.00,30103.00,33073.00,35444.00
Missouri,8812.00,17407.00,22094.00,27206.00,29252.00,32789.00,35676.00,39049.00,42752.00
Montana,8342.00,14743.00,18764.00,22518.00,25920.00,30790.00,34004.00,37370.00,41280.00
Nebraska,8895.00,17379.00,22196.00,27630.00,30758.00,34440.00,38081.00,43143.00,48006.00
Nevada,10848.00,20248.00,25808.00,29506.00,31266.00,38994.00,38578.00,37361.00,42185.00
New Hampshire,9150.00,20231.00,25008.00,33169.00,34702.00,39753.00,42831.00,47058.00,54817.00
New Jersey,10966.00,24182.00,29277.00,37118.00,40427.00,46763.00,50313.00,53628.00,59782.00
New Mexico,7940.00,14213.00,18852.00,21931.00,25541.00,29929.00,32992.00,35079.00,38457.00
New York,10179.00,22322.00,27721.00,34689.00,36574.00,44027.00,46957.00,52095.00,57705.00
North Carolina,7780.00,16284.00,21938.00,26882.00,28235.00,32247.00,34453.00,37049.00,40656.00
North Dakota,8642.00,15320.00,19084.00,24708.00,29204.00,32763.00,39530.00,51893.00,54376.00
Ohio,9399.00,17547.00,22887.00,27977.00,29944.00,33320.00,35381.00,39289.00,43478.00
Oklahoma,9018.00,15117.00,19394.00,23650.00,26656.00,32391.00,35268.00,39006.00,44272.00
Oregon,9309.00,17201.00,22668.00,27660.00,29340.00,33299.00,35667.00,38786.00,42974.00
Pennsylvania,9353.00,18884.00,23738.00,29504.00,31998.00,36825.00,39578.00,43616.00,49180.00
Rhode Island,9227.00,19035.00,24046.00,29113.00,31916.00,37523.00,41003.00,44990.00,50080.00
South Carolina,7392.00,15101.00,19473.00,24000.00,26132.00,29767.00,31799.00,34266.00,38041.00
South Dakota,7800.00,15628.00,19848.00,25958.00,29234.00,32030.00,36935.00,43659.00,45002.00
Tennessee,7711.00,15903.00,21800.00,25946.00,28455.00,32172.00,34089.00,37678.00,42069.00
Texas,9439.00,16747.00,21526.00,27752.00,29372.00,35166.00,36484.00,41471.00,46745.00
Utah,7671.00,14063.00,18858.00,23436.00,24977.00,29406.00,30875.00,34601.00,39045.00
Vermont,7957.00,17444.00,21359.00,26848.00,30740.00,34871.00,38503.00,42994.00,47864.00
Virginia,9413.00,19543.00,24456.00,31120.00,33671.00,39540.00,43874.00,47082.00,52136.00
Washington,10256.00,19268.00,23878.00,31230.00,33332.00,38212.00,41751.00,45413.00,51146.00
West Virginia,7764.00,13964.00,17913.00,21738.00,24379.00,28206.00,32219.00,34477.00,37047.00
Wisconsin,9364.00,17399.00,22573.00,28100.00,30898.00,34405.00,36822.00,40537.00,45617.00
Wyoming,11018.00,16905.00,21514.00,27372.00,32808.00,40655.00,45705.00,48670.00,55303.00
United States,9494.00,18667.00,23562.00,29469.00,31632.00,36714.00,39138.00,42693.00,47669.00
